Date;Year;Quarter;Month;MonthSort;Month in Year;MonthInYearSort;Day of Week;DayOfWeekSort
01/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Sun;7
02/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Mon;1
03/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Tue;2
04/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Wed;3
05/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Thu;4
06/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Fri;5
07/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Sat;6
08/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Sun;7
09/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Mon;1
10/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Tue;2
11/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Wed;3
12/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Thu;4
13/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Fri;5
14/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Sat;6
15/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Sun;7
16/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Mon;1
17/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Tue;2
18/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Wed;3
19/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Thu;4
20/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Fri;5
21/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Sat;6
22/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Sun;7
23/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Mon;1
24/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Tue;2
25/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Wed;3
26/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Thu;4
27/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Fri;5
28/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Sat;6
29/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Sun;7
30/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Mon;1
31/07/2012;2012;2012-Q3;Jul 2012;2012-07;Jul;7;Tue;2
01/08/2012;2012;2012-Q3;Aug 2012;2012-08;Aug;8;Wed;3
02/08/2012;2012;2012-Q3;Aug 2012;2012-08;Aug;8;Thu;4
03/08/2012;2012;2012-Q3;Aug 2012;2012-08;Aug;8;Fri;5
04/08/2012;2012;2012-Q3;Aug 2012;2012-08;Aug;8;Sat;6
05/08/2012;2012;2012-Q3;Aug 2012;2012-08;Aug;8;Sun;7
06/08/2012;2012;2012-Q3;Aug 2012;2012-08;Aug;8;Mon;1
07/08/2012;2012;2012-Q3;Aug 2012;2012-08;Aug;8;Tue;2
08/08/2012;2012;2012-Q3;Aug 2012;2012-08;Aug;8;Wed;3
09/08/2012;2012;2012-Q3;Aug 2012;2012-08;Aug;8;Thu;4
10/08/2012;2012;2012-Q3;Aug 2012;2012-08;Aug;8;Fri;5
